year,name,category,ratio_f,number_f,ratio_m,number_m
2009,Riley,1: most neutral,0.598,5635,0.402,3788
2009,Peyton,2: very neutral,0.662,5315,0.338,2709
2009,Hayden,2: very neutral,0.337,2474,0.663,4865
2009,Dakota,1: most neutral,0.463,1194,0.537,1384
2009,Skyler,2: very neutral,0.363,759,0.637,1334
2009,Quinn,2: very neutral,0.32,630,0.68,1339
2009,Amari,2: very neutral,0.367,632,0.633,1088
2009,Emerson,2: very neutral,0.614,1017,0.386,640
2009,Rowan,2: very neutral,0.392,616,0.608,957
2009,Casey,1: most neutral,0.407,570,0.593,829
2009,Phoenix,2: very neutral,0.328,403,0.672,825
2009,Harley,2: very neutral,0.622,762,0.378,464
2009,Justice,1: most neutral,0.453,550,0.547,665
2009,Jaylin,1: most neutral,0.457,489,0.543,581
2009,Finley,2: very neutral,0.636,576,0.364,330
2009,River,2: very neutral,0.312,280,0.688,618
2009,Jessie,1: most neutral,0.478,422,0.522,460
2009,Armani,1: most neutral,0.436,368,0.564,477
2009,Sidney,2: very neutral,0.692,571,0.308,254
2009,Kamari,2: very neutral,0.363,286,0.637,501
2009,Jaidyn,2: very neutral,0.63,464,0.37,273
2009,Rory,1: most neutral,0.486,287,0.514,303
2009,Dominique,1: most neutral,0.484,278,0.516,296
2009,Kasey,2: very neutral,0.63,354,0.37,208
2009,Devyn,1: most neutral,0.528,273,0.472,244
2009,Elisha,2: very neutral,0.302,147,0.698,340
2009,Jordin,2: very neutral,0.664,306,0.336,155
2009,Tegan,2: very neutral,0.615,257,0.385,161
2009,Emory,2: very neutral,0.604,252,0.396,165
2009,Shea,2: very neutral,0.613,252,0.387,159
2009,Azariah,2: very neutral,0.677,268,0.323,128
2009,Landry,1: most neutral,0.543,201,0.457,169
2009,Kadyn,2: very neutral,0.303,112,0.697,258
2009,Haiden,2: very neutral,0.376,136,0.624,226
2009,Arya,2: very neutral,0.677,237,0.323,113
2009,Jaedyn,1: most neutral,0.517,178,0.483,166
2009,Remy,2: very neutral,0.391,132,0.609,206
2009,Reilly,1: most neutral,0.487,163,0.513,172
2009,Ryley,1: most neutral,0.484,162,0.516,173
2009,Yael,2: very neutral,0.324,107,0.676,223
2009,Camdyn,1: most neutral,0.533,176,0.467,154
2009,Dereon,2: very neutral,0.301,91,0.699,211
2009,Braylin,2: very neutral,0.371,109,0.629,185
2009,Jael,1: most neutral,0.46,131,0.54,154
2009,Austyn,1: most neutral,0.463,125,0.537,145
2009,Robin,2: very neutral,0.659,178,0.341,92
2009,Channing,2: very neutral,0.38,101,0.62,165
2009,Kalani,2: very neutral,0.659,166,0.341,86
2009,Tristyn,1: most neutral,0.445,109,0.555,136
2009,Kaidyn,1: most neutral,0.454,109,0.546,131
2009,Jackie,1: most neutral,0.564,133,0.436,103
2009,Oakley,2: very neutral,0.398,92,0.602,139
2009,Aven,1: most neutral,0.442,102,0.558,129
2009,Tracy,2: very neutral,0.69,158,0.31,71
2009,Marion,1: most neutral,0.48,110,0.52,119
2009,Arian,2: very neutral,0.311,68,0.689,151
2009,Kamdyn,1: most neutral,0.512,111,0.488,106
2009,Rian,1: most neutral,0.433,94,0.567,123
2009,Ever,2: very neutral,0.321,69,0.679,146
2009,Briar,2: very neutral,0.343,72,0.657,138
2009,Loren,2: very neutral,0.69,140,0.31,63
2009,Karsen,2: very neutral,0.328,66,0.672,135
2009,Shayne,1: most neutral,0.43,86,0.57,114
2009,Nikita,1: most neutral,0.419,83,0.581,115
2009,Unknown,1: most neutral,0.426,84,0.574,113
2009,Shia,1: most neutral,0.413,81,0.587,115
2009,Brighton,2: very neutral,0.367,72,0.633,124
2009,Shay,1: most neutral,0.559,109,0.441,86
2009,Teegan,1: most neutral,0.428,83,0.572,111
2009,Daylin,1: most neutral,0.427,79,0.573,106
2009,Laken,1: most neutral,0.536,98,0.464,85
2009,Cameryn,2: very neutral,0.678,122,0.322,58
2009,Kiran,2: very neutral,0.341,60,0.659,116
2009,Salem,1: most neutral,0.494,82,0.506,84
2009,Scout,2: very neutral,0.652,105,0.348,56
2009,Kaedyn,2: very neutral,0.306,48,0.694,109
2009,Jaydyn,1: most neutral,0.419,65,0.581,90
2009,Aries,1: most neutral,0.408,62,0.592,90
2009,Kaydin,2: very neutral,0.368,56,0.632,96
2009,Ocean,1: most neutral,0.403,60,0.597,89
2009,Rio,1: most neutral,0.469,68,0.531,77
2009,Raleigh,2: very neutral,0.653,94,0.347,50
2009,Rylin,2: very neutral,0.631,89,0.369,52
2009,Kendell,1: most neutral,0.409,56,0.591,81
2009,Kodi,1: most neutral,0.533,73,0.467,64
2009,Dakoda,2: very neutral,0.326,44,0.674,91
2009,Kylin,1: most neutral,0.519,69,0.481,64
2009,Isa,1: most neutral,0.408,53,0.592,77
2009,Taylen,2: very neutral,0.318,41,0.682,88
2009,Tru,1: most neutral,0.594,76,0.406,52
2009,Gracen,2: very neutral,0.63,80,0.37,47
2009,Yuri,2: very neutral,0.63,80,0.37,47
2009,Jessy,2: very neutral,0.341,43,0.659,83
2009,Harlem,2: very neutral,0.317,40,0.683,86
2009,Jules,1: most neutral,0.448,56,0.552,69
2009,Emry,2: very neutral,0.696,87,0.304,38
2009,Kingsley,2: very neutral,0.304,38,0.696,87
2009,Tenzin,1: most neutral,0.492,61,0.508,63
2009,Camari,2: very neutral,0.366,45,0.634,78
2009,Divine,2: very neutral,0.642,79,0.358,44
