year,name,category,ratio_f,number_f,ratio_m,number_m
1910,Willie,2: very neutral,0.383,1796,0.617,2897
1910,Johnnie,2: very neutral,0.373,299,0.627,502
1910,Jimmie,2: very neutral,0.334,130,0.666,259
1910,Merle,1: most neutral,0.58,138,0.42,100
1910,Tommie,2: very neutral,0.392,83,0.608,129
1910,Freddie,2: very neutral,0.349,51,0.651,95
1910,Alva,1: most neutral,0.567,80,0.433,61
1910,Odell,1: most neutral,0.558,72,0.442,57
1910,Guadalupe,2: very neutral,0.645,69,0.355,38
1910,Sammie,2: very neutral,0.385,30,0.615,48
1910,Vernie,2: very neutral,0.635,47,0.365,27
1910,Maxie,2: very neutral,0.609,42,0.391,27
1910,Theo,1: most neutral,0.453,29,0.547,35
1910,Ivory,1: most neutral,0.542,32,0.458,27
1910,Lacy,1: most neutral,0.441,26,0.559,33
1910,Gail,1: most neutral,0.569,33,0.431,25
1910,Dee,2: very neutral,0.314,16,0.686,35
1910,Arlie,1: most neutral,0.531,26,0.469,23
1910,Elzie,2: very neutral,0.362,17,0.638,30
1910,Terry,2: very neutral,0.348,16,0.652,30
1910,Golden,1: most neutral,0.543,25,0.457,21
1910,Odie,1: most neutral,0.533,24,0.467,21
1910,Jonnie,2: very neutral,0.628,27,0.372,16
1910,Augustine,1: most neutral,0.581,25,0.419,18
1910,Dell,2: very neutral,0.698,30,0.302,13
1910,Rene,2: very neutral,0.31,13,0.69,29
1910,Dana,1: most neutral,0.525,21,0.475,19
1910,Meredith,2: very neutral,0.632,24,0.368,14
1910,Verne,1: most neutral,0.486,18,0.514,19
1910,Santos,2: very neutral,0.361,13,0.639,23
1910,Hollie,1: most neutral,0.559,19,0.441,15
1910,Lavern,1: most neutral,0.5,17,0.5,17
1910,Jodie,2: very neutral,0.364,12,0.636,21
1910,Bernie,2: very neutral,0.312,10,0.688,22
1910,Ernie,2: very neutral,0.387,12,0.613,19
1910,Avery,2: very neutral,0.323,10,0.677,21
1910,Alvie,1: most neutral,0.5,15,0.5,15
1910,Earlie,1: most neutral,0.448,13,0.552,16
1910,Mickey,1: most neutral,0.414,12,0.586,17
1910,Vester,1: most neutral,0.464,13,0.536,15
1910,Jule,1: most neutral,0.593,16,0.407,11
1910,Cruz,2: very neutral,0.654,17,0.346,9
1910,Laurie,2: very neutral,0.692,18,0.308,8
1910,Lorenza,1: most neutral,0.6,15,0.4,10
1910,Carrol,1: most neutral,0.458,11,0.542,13
1910,Jamie,2: very neutral,0.667,16,0.333,8
1910,Ivey,1: most neutral,0.5,12,0.5,12
1910,Bobby,2: very neutral,0.667,16,0.333,8
1910,Shellie,1: most neutral,0.542,13,0.458,11
1910,Trinidad,2: very neutral,0.667,16,0.333,8
1910,Halley,1: most neutral,0.478,11,0.522,12
1910,Burnice,2: very neutral,0.636,14,0.364,8
1910,Clovis,1: most neutral,0.409,9,0.591,13
1910,Vernal,1: most neutral,0.5,11,0.5,11
1910,Courtney,1: most neutral,0.421,8,0.579,11
1910,Elza,1: most neutral,0.421,8,0.579,11
1910,Gale,2: very neutral,0.368,7,0.632,12
1910,Orie,2: very neutral,0.368,7,0.632,12
1910,Mannie,1: most neutral,0.556,10,0.444,8
1910,Laurel,2: very neutral,0.667,12,0.333,6
1910,Cornelious,1: most neutral,0.5,9,0.5,9
1910,Collie,2: very neutral,0.333,6,0.667,12
1910,Refugio,1: most neutral,0.5,9,0.5,9
1910,Olie,1: most neutral,0.529,9,0.471,8
1910,Foy,1: most neutral,0.412,7,0.588,10
1910,Carmon,2: very neutral,0.647,11,0.353,6
1910,Dannie,1: most neutral,0.588,10,0.412,7
1910,Felice,2: very neutral,0.647,11,0.353,6
1910,Stacy,1: most neutral,0.5,8,0.5,8
1910,Oneal,2: very neutral,0.312,5,0.688,11
1910,Vernell,2: very neutral,0.688,11,0.312,5
1910,Onnie,2: very neutral,0.688,11,0.312,5
1910,Allison,2: very neutral,0.312,5,0.688,11
1910,Montie,2: very neutral,0.667,10,0.333,5
1910,Hurley,2: very neutral,0.333,5,0.667,10
1910,Ezell,2: very neutral,0.333,5,0.667,10
1910,Murl,2: very neutral,0.643,9,0.357,5
1910,Lovell,1: most neutral,0.429,6,0.571,8
1910,Verl,2: very neutral,0.357,5,0.643,9
1910,Ivery,2: very neutral,0.643,9,0.357,5
1910,Woodie,2: very neutral,0.357,5,0.643,9
1910,Zollie,1: most neutral,0.5,7,0.5,7
1910,Carlie,1: most neutral,0.5,7,0.5,7
1910,Ozzie,1: most neutral,0.5,7,0.5,7
1910,Levie,2: very neutral,0.385,5,0.615,8
1910,Loney,2: very neutral,0.615,8,0.385,5
1910,Atlas,2: very neutral,0.385,5,0.615,8
1910,Clemence,1: most neutral,0.5,6,0.5,6
1910,Brownie,1: most neutral,0.545,6,0.455,5
1910,Mayo,1: most neutral,0.455,5,0.545,6
1910,Natividad,1: most neutral,0.455,5,0.545,6
1910,Byrd,1: most neutral,0.455,5,0.545,6
1910,Reyes,1: most neutral,0.455,5,0.545,6
1910,Ventura,1: most neutral,0.455,5,0.545,6
1910,Australia,1: most neutral,0.455,5,0.545,6
1910,Earnie,1: most neutral,0.5,5,0.5,5
1910,Kelsie,1: most neutral,0.5,5,0.5,5
1910,Page,1: most neutral,0.5,5,0.5,5
